,Elo,Teams,Allocation
ENG,2144.6,125,10
ESP,2095.0,66,10
ITA,2081.9,45,10
DEU,2055.6,168,10
FRA,2003.5,77,10
PRT,1890.7,56,6
BEL,1859.4,43,6
NLD,1844.7,64,6
CZE,1814.8,40,6
TUR,1807.1,47,6
GRC,1771.7,55,6
DNK,1769.2,45,6
SUI,1760.1,33,6
NOR,1739.1,56,6
AUT,1735.2,41,6
SWE,1734.2,44,4
POL,1730.3,54,4
ROU,1718.9,25,4
UKR,1707.8,20,4
HUN,1701.6,30,4
BGR,1699.4,29,4
SCO,1692.2,45,4
HRV,1666.9,17,4
ISR,1645.7,25,4
SRB,1596.1,28,4
SVK,1590.0,20,4
CYP,1587.3,22,4
SVN,1538.1,22,4
BLR,1534.7,18,4
FIN,1526.1,40,4
BIH,1484.4,27,2
AZE,1478.4,13,2
KAZ,1470.5,17,2
IRL,1422.2,20,2
ISL,1422.0,33,2
GEO,1392.8,20,2
MKD,1386.0,20,2
ALB,1374.6,25,2
NIR,1298.0,22,2
MDA,1293.5,13,2
LUX,1288.7,34,2
MNE,1285.2,17,2
KOS,1283.2,13,2
ARM,1267.4,14,2
MLT,1232.5,17,2
LTU,1225.6,12,2
LVA,1191.0,11,2
WLS,1180.4,28,2
FRO,1096.8,15,2
EST,911.4,13,2
GIB,908.2,11,2
AND,779.1,12,2
SMR,744.0,16,2
